user_id,to_reads
1,235|112
24,61|143|421|467
36,718|65|55|7|612|741
60,736|1214|592|284|1509|1184|1584|425|82|550|48|523|516|194|430|192|906|143
75,1005
127,136|383|374
143,7|122|162|142|56|40|440|906|313|5|1094|172
173,265|61
202,1
230,193|779|820|396|441|47|522|208|267|313
253,249|663|1238|212|344|289|46|268|1|572
271,115|313|567
274,602|498
276,265|1214|129|118|130|323|121|342|284|45
282,249|208|195|119
306,87|1334|333
325,311|1238|1136|306|405|71|132|114|495|467|550|1411
338,46|60
362,323|567|121|47|1144|1011|414|758|337|424|461|126
375,67|516|495|408
403,669|653|100|121|67|57|282|127|46|249
430,172|485
439,249|121|734
458,1365|249|217|538|142|47|270|39
476,591|195|869|110
488,287|516
512,94|289|98|28|47|312|196
571,682
575,1135|550|38|47
615,961|255|901|8|54|103|35|113|498|22|70
653,997
717,122
728,964|597|432|815|297
750,516|357
778,883|815|74|70
811,65|173|109|883|45|212|185|413
817,405|79|131|94|341|233|167|743|409|142|924|604|736|413|346|137|503|637
851,291|144|231|304|122|867|312
883,820|283
901,795|150|550|467|407|181|16
928,718|35|121|32|113|62|55|181|456|485
934,793
1010,180|268|103|869|81
1038,924|697|1334|421|522|112
1058,323
1064,11
1074,38|577|150|547|186|98|16|140|35|829|57
1088,289|97|87|60|233|646|650|820|883|1584|1202|305|22
1101,115|592|408|663|289|97|160|121|71|87|1365|959|13|1136|597|133|709|395|924
1123,45|36|642
1126,101|320
1143,664|47|467|17|550|436
1159,233|1214|663
1185,658
1197,51|81|1367|265|93|718|489|146|268
1255,85|820|106
1266,359|291|146|19|81
1276,27|53|16|869|372|165|192|567|924|436|225|401|592|471
1294,67|1316|342
1325,11|94
1339,81|591|47|39|697
1350,516|57|239
1374,359|112
1403,94|710|122|1068|374
1429,265|67|239|354|326|268
1435,239|61
1449,754|638
1456,92|895
1484,516|100|174|143|820|883|710|638|930|662|1011
1504,620|249|576|171
1526,426|100|937|46|855|1144|270
1532,187|430|574|45|115|718
1536,38|270|362|45|550|378|1021
1546,578|675|739|1139|48|10|93|45|523|87|95|173|238|398|249|217
1554,534
1565,267|190
1570,175|354|1642|672
1585,73
1590,11
1600,322|1088|212|815|111|1214|95|961
1645,285|146|262|467|320|119
1671,1584|178|124
1688,298|664|409|1011|267
1710,916|457|256
1719,45|67|523|262
1734,113|56|139
1739,111|121|80|162|265|401|485|395|718|498|225|669
1747,587|1214|663|654
1759,1644
1789,1084|560|467|225
1806,270|20|638
1840,372|378|8|248|55|730|1465|483|1255|867|398|410|1005|743|689|262|247
1853,115|919
1862,1367|192
1873,87|10|33|94|127|67|1238|262|61
1875,638|34|47|258|930
1889,33|7|233|516|94|1055|426|1752
1915,115|916|1272
1926,109|387|212|68|1970|236|25|14|13|401|395|495|287|32|225|233|736|38|597|682|284
1935,550|287|35|238|5|8|65|516|82|495|494|467
2000,468|80|8|231|117|66|317
2042,94|233|181|557
2051,1|45
2055,1055|16|167|249|295
2066,188|45|6
2082,27|115|60|1005|9|132|689|473|208|407|1161
2089,233
2108,81
2121,193|74|61|262|1752|141
2157,495|217|733|129|476|706|208|7|320|291|318|758|61|267|312|625
2181,427|1365|181|354|407|22|74|613|906
2218,642|1011|869|620|87|48|424|185|51
2257,682|273|87|205|696|898|662|329|65|727|399|31|16|81
2283,476|55|1739|66|131
2291,495|867|1055|718|233|1393|208|793
2320,65|261|288|82|43|66|89|76|48|156
2331,323|828|106|665
2343,574|74|421|265|143
2347,515|306|109|436|1739
2362,113|493|127|323|173|215
2398,727
2415,597|709|47|217
2434,930|320|285
2474,961|256|498|743
2498,1435|1272
2505,268|287|258
2521,1319
2555,249|516|217|268|867|1316|538|256|5|320|467|190|1334|396|121|255|691
2572,689|869|320
2597,104|67|35|378|1238|516|94|45|924|1739|329|295|523|688|6|172|718|240|313|47|66|61|267
2624,209|350|1073|94|741|10|1048|436|35|291
2629,625|522|1011|857|426|132|270|377|174|77|333|141
2650,1316|682|36|426|34|440|131|383|236|255|287
2665,142|81|36
2695,67|815|350|1319|114|255|287|984|597|8|401|191|54|45|122|14|298|574|239|977|479|516|31|249|70
2709,57|233|360|916|1679|984|1167|872|1176|11|417
2721,1055|264|94|121
2738,230|857|354|23|94|35|71|100|72|209|367|127|89|54|151|175|421|924|291
2759,92
2792,426|516
2838,186|312|642|148|397|413|1144|561|860|682
2854,304|741|498|158|118|592|179|765|165|47|81
2860,233|119|557|476|188|144
2888,233|483|554|712|56
2900,41|197
2907,60|653|148|779
2928,121|1214|395|115|265|883|124|372|534|943|122|563
2985,5|196|11|353
2998,625
3017,490|119
3040,522|381
3061,122|38|14|495|113|1272|1584|64|587|374|11|758|119|115|408|606|236|1021|256|89
3094,64|40|11|328|46|62
3100,94|97|229|346|959|180|204|1021|264|1184|1642|138|819
3110,113
3139,162|282|1084|342|604|638|139
3168,47|413|111|408|38|642|35|503|1021|378|249|5|117|538|43|984|516|270|119|1518|265|289|718|15|271|272|256|64
3213,516|378|1011|38|65|414|840|522|440
3217,66|95|76|61|267|416|15|7|37|28|219|133|769|118|468|887|518|1184|137
3225,427|664|471|54|903|109|804|961|499|38|40|395|587|113|287|495|13|75|110|478
3237,529|4|255|287|485
3241,638|924
3246,40
3255,126|323|496|1161
3262,482|143|494|208|567
3280,768
3345,248|727|483
3420,143|267
3436,117
3450,40|212|11|100|111|1272|67|109
3466,312|188
3487,67|171|895
3502,18|24|74|662
